move_feature_set,n_features,threshold_mode,split,move_threshold,direction_threshold,entry_rule,entry_rule_is_live_deployable,n_signals,n_signal_runs,coverage,directional_precision,mean_signed_return_bps,median_signed_return_bps,mean_net_return_bps,median_net_return_bps,total_net_return_bps,up_signal_share,mean_entry_delay_events,median_entry_delay_events
full_trade_flow,48,fixed_common_0p65_0p65,validation,0.65,0.65,first_eligible,True,48,18,0.0004653958773681863,0.5833333333333334,1.2336517677166705,1.312182671587836,0.2336517677166703,0.31218267158783597,11.215284850400174,0.25,0.0,0.0
full_trade_flow,48,fixed_common_0p65_0p65,validation,0.65,0.65,max_move_probability,False,48,18,0.0004653958773681863,0.5625,0.5291824366675245,0.42335570698770475,-0.4708175633324753,-0.5766442930122953,-22.599243039958814,0.2916666666666667,8.395833333333334,0.0
full_trade_flow,48,fixed_common_0p65_0p65,validation,0.65,0.65,max_joint_confidence,False,48,18,0.0004653958773681863,0.5625,0.603154888728849,0.42335570698770475,-0.3968451112711509,-0.5766442930122953,-19.048565341015244,0.2916666666666667,8.229166666666666,0.0
full_trade_flow,48,fixed_common_0p65_0p65,test,0.65,0.65,first_eligible,True,20,14,0.00020553717139744723,0.7,2.6100602539173017,2.140142419371771,1.6100602539173017,1.140142419371771,32.201205078346035,0.2,0.0,0.0
full_trade_flow,48,fixed_common_0p65_0p65,test,0.65,0.65,max_move_probability,False,20,14,0.00020553717139744723,0.65,1.4097374154100615,1.2140704279900438,0.4097374154100617,0.21407042799004383,8.194748308201234,0.1,3.75,0.0
full_trade_flow,48,fixed_common_0p65_0p65,test,0.65,0.65,max_joint_confidence,False,20,14,0.00020553717139744723,0.65,0.9097172089588268,0.8475547088798718,-0.0902827910411732,-0.15244529112012817,-1.805655820823464,0.1,4.45,0.0
medium_trade_flow,24,fixed_common_0p65_0p65,validation,0.65,0.65,first_eligible,True,46,17,0.0004460043824778452,0.5652173913043478,1.102231667698647,1.1531313283413835,0.10223166769864699,0.15313132834138354,4.7026567141377615,0.2608695652173913,0.0,0.0
medium_trade_flow,24,fixed_common_0p65_0p65,validation,0.65,0.65,max_move_probability,False,46,17,0.0004460043824778452,0.5434782608695652,0.360904393135838,0.38699398215324976,-0.639095606864162,-0.6130060178467502,-29.398397915751453,0.30434782608695654,9.782608695652174,0.0
medium_trade_flow,24,fixed_common_0p65_0p65,validation,0.65,0.65,max_joint_confidence,False,46,17,0.0004460043824778452,0.5434782608695652,0.446190092560301,0.38699398215324976,-0.5538099074396989,-0.6130060178467502,-25.475255742226153,0.30434782608695654,9.673913043478262,0.0
medium_trade_flow,24,fixed_common_0p65_0p65,test,0.65,0.65,first_eligible,True,21,13,0.00021581402996731958,0.7142857142857143,2.652654822322687,2.9354683547744287,1.652654822322687,1.9354683547744287,34.705751268776424,0.14285714285714285,0.0,0.0
medium_trade_flow,24,fixed_common_0p65_0p65,test,0.65,0.65,max_move_probability,False,21,13,0.00021581402996731958,0.7142857142857143,2.169339069430906,1.8070860061503158,1.1693390694309056,0.8070860061503158,24.55612045804902,0.09523809523809523,3.380952380952381,0.0
medium_trade_flow,24,fixed_common_0p65_0p65,test,0.65,0.65,max_joint_confidence,False,21,13,0.00021581402996731958,0.6666666666666666,1.033280493790806,1.0833243720109742,0.03328049379080604,0.0833243720109742,0.6988903696069269,0.047619047619047616,4.238095238095238,0.0
reduced_trade_flow,14,fixed_common_0p65_0p65,validation,0.65,0.65,first_eligible,True,33,16,0.0003199596656906281,0.6363636363636364,0.8970002970302183,1.3243332506962524,-0.10299970296978175,0.3243332506962524,-3.3989901980027977,0.09090909090909091,0.0,0.0
reduced_trade_flow,14,fixed_common_0p65_0p65,validation,0.65,0.65,max_move_probability,False,33,16,0.0003199596656906281,0.6666666666666666,0.8224551197059823,1.3243332506962524,-0.1775448802940178,0.3243332506962524,-5.858981049702587,0.18181818181818182,9.666666666666666,0.0
reduced_trade_flow,14,fixed_common_0p65_0p65,validation,0.65,0.65,max_joint_confidence,False,33,16,0.0003199596656906281,0.6666666666666666,0.4717732290439271,1.3243332506962524,-0.5282267709560728,0.3243332506962524,-17.431483441550405,0.15151515151515152,8.090909090909092,0.0
reduced_trade_flow,14,fixed_common_0p65_0p65,test,0.65,0.65,first_eligible,True,17,12,0.00017470659568783015,0.8235294117647058,3.463648915823841,3.4244148033468758,2.463648915823841,2.4244148033468758,41.88203156900529,0.17647058823529413,0.0,0.0
reduced_trade_flow,14,fixed_common_0p65_0p65,test,0.65,0.65,max_move_probability,False,17,12,0.00017470659568783015,0.7647058823529411,1.6913629671131023,1.3448164839691135,0.6913629671131022,0.34481648396911346,11.753170440922737,0.058823529411764705,5.411764705882353,0.0
reduced_trade_flow,14,fixed_common_0p65_0p65,test,0.65,0.65,max_joint_confidence,False,17,12,0.00017470659568783015,0.7647058823529411,1.1031039006998846,0.7788712883405324,0.10310390069988466,-0.22112871165946757,1.7527663118980392,0.058823529411764705,6.235294117647059,0.0
