source_model,target_model,run_name,source_row_in_run,signal_direction,nearest_row_distance,episode_match
medium_trade_flow,reduced_trade_flow,20260709_192139,2110,-1,0.0,True
medium_trade_flow,reduced_trade_flow,20260709_194752,2504,-1,1729.0,False
medium_trade_flow,reduced_trade_flow,20260709_200334,2576,-1,,False
medium_trade_flow,reduced_trade_flow,20260709_201919,1965,1,,False
medium_trade_flow,reduced_trade_flow,20260709_201919,2044,-1,75.0,False
medium_trade_flow,reduced_trade_flow,20260709_201919,2182,-1,213.0,False
medium_trade_flow,reduced_trade_flow,20260709_201919,2320,-1,351.0,False
medium_trade_flow,reduced_trade_flow,20260709_202431,2480,-1,1.0,True
medium_trade_flow,reduced_trade_flow,20260709_202947,1311,-1,636.0,False
medium_trade_flow,reduced_trade_flow,20260709_205559,948,-1,,False
medium_trade_flow,reduced_trade_flow,20260709_211653,197,-1,,False
medium_trade_flow,reduced_trade_flow,20260709_211653,459,-1,,False
medium_trade_flow,reduced_trade_flow,20260709_211653,634,-1,,False
medium_trade_flow,reduced_trade_flow,20260709_212207,2118,-1,5.0,True
medium_trade_flow,reduced_trade_flow,20260709_212207,2254,-1,141.0,False
medium_trade_flow,reduced_trade_flow,20260709_212722,1551,-1,0.0,True
medium_trade_flow,reduced_trade_flow,20260709_213235,2604,-1,,False
reduced_trade_flow,medium_trade_flow,20260709_190039,383,-1,,False
reduced_trade_flow,medium_trade_flow,20260709_190039,1133,-1,,False
reduced_trade_flow,medium_trade_flow,20260709_190039,1328,-1,,False
reduced_trade_flow,medium_trade_flow,20260709_190555,105,-1,2417.0,False
reduced_trade_flow,medium_trade_flow,20260709_190555,478,-1,2044.0,False
reduced_trade_flow,medium_trade_flow,20260709_190555,2260,-1,262.0,False
reduced_trade_flow,medium_trade_flow,20260709_190555,2642,-1,120.0,False
reduced_trade_flow,medium_trade_flow,20260709_192139,1551,-1,1.0,True
reduced_trade_flow,medium_trade_flow,20260709_192139,1996,-1,114.0,False
reduced_trade_flow,medium_trade_flow,20260709_192139,2110,-1,0.0,True
reduced_trade_flow,medium_trade_flow,20260709_192655,2191,-1,,False
reduced_trade_flow,medium_trade_flow,20260709_192655,2634,-1,,False
reduced_trade_flow,medium_trade_flow,20260709_193210,844,-1,,False
reduced_trade_flow,medium_trade_flow,20260709_194752,775,-1,1729.0,False
reduced_trade_flow,medium_trade_flow,20260709_195819,2283,-1,,False
reduced_trade_flow,medium_trade_flow,20260709_201919,1230,-1,814.0,False
reduced_trade_flow,medium_trade_flow,20260709_201919,1969,-1,75.0,False
reduced_trade_flow,medium_trade_flow,20260709_202431,2481,-1,1.0,True
reduced_trade_flow,medium_trade_flow,20260709_202947,1947,-1,636.0,False
reduced_trade_flow,medium_trade_flow,20260709_203501,315,-1,,False
reduced_trade_flow,medium_trade_flow,20260709_203501,1907,-1,,False
reduced_trade_flow,medium_trade_flow,20260709_210627,2090,-1,,False
reduced_trade_flow,medium_trade_flow,20260709_212207,2113,-1,5.0,True
reduced_trade_flow,medium_trade_flow,20260709_212722,1551,-1,0.0,True
